FID,Id,gridcode,Persistence,Variable,Area
0,1,51,5,Variable 1,25.000000000000000
1,2,151,15,Variable 1,25.000000000000000
2,3,202,20,Variable 2,25.000000000000000
3,4,202,20,Variable 2,25.000000000000000
4,5,302,30,Variable 2,25.000000000000000
5,6,51,5,Variable 1,50.000000000000000
6,7,101,10,Variable 1,175.000000000000000
7,8,302,30,Variable 2,25.000000000000000
8,9,101,10,Variable 1,25.000000000000000
9,10,202,20,Variable 2,25.000000000000000
10,11,51,5,Variable 1,25.000000000000000
11,12,152,15,Variable 2,50.000000000000000
12,13,151,15,Variable 1,125.000000000000000
13,14,302,30,Variable 2,25.000000000000000
14,15,402,40,Variable 2,75.000000000000000
15,16,201,20,Variable 1,25.000000000000000
16,17,101,10,Variable 1,100.000000000000000
17,18,51,5,Variable 1,25.000000000000000
18,19,151,15,Variable 1,175.000000000000000
19,20,402,40,Variable 2,25.000000000000000
20,21,104,10,Variable 4,50.000000000000000
21,22,101,10,Variable 1,25.000000000000000
22,23,202,20,Variable 2,150.000000000000000
23,24,152,15,Variable 2,25.000000000000000
24,25,302,30,Variable 2,75.000000000000000
25,26,51,5,Variable 1,100.000000000000000
26,27,51,5,Variable 1,25.000000000000000
27,28,302,30,Variable 2,50.000000000000000
28,29,51,5,Variable 1,25.000000000000000
29,30,302,30,Variable 2,25.000000000000000
30,31,502,50,Variable 2,25.000000000000000
31,32,51,5,Variable 1,25.000000000000000
32,33,101,10,Variable 1,125.000000000000000
33,34,151,15,Variable 1,25.000000000000000
34,35,151,15,Variable 1,25.000000000000000
35,36,202,20,Variable 2,25.000000000000000
36,37,152,15,Variable 2,50.000000000000000
37,38,302,30,Variable 2,50.000000000000000
38,39,502,50,Variable 2,50.000000000000000
39,40,51,5,Variable 1,75.000000000000000
40,41,151,15,Variable 1,25.000000000000000
41,42,202,20,Variable 2,25.000000000000000
42,43,502,50,Variable 2,25.000000000000000
43,44,151,15,Variable 1,25.000000000000000
44,45,302,30,Variable 2,25.000000000000000
45,46,152,15,Variable 2,25.000000000000000
46,47,51,5,Variable 1,25.000000000000000
47,48,151,15,Variable 1,25.000000000000000
48,49,402,40,Variable 2,875.000000000000000
49,50,101,10,Variable 1,300.000000000000000
50,51,201,20,Variable 1,25.000000000000000
51,52,202,20,Variable 2,25.000000000000000
52,53,502,50,Variable 2,25.000000000000000
53,54,51,5,Variable 1,200.000000000000000
54,55,152,15,Variable 2,50.000000000000000
55,56,402,40,Variable 2,50.000000000000000
56,57,502,50,Variable 2,50.000000000000000
57,58,101,10,Variable 1,375.000000000000000
58,59,151,15,Variable 1,50.000000000000000
59,60,302,30,Variable 2,25.000000000000000
60,61,402,40,Variable 2,50.000000000000000
61,62,502,50,Variable 2,25.000000000000000
62,63,152,15,Variable 2,75.000000000000000
63,64,51,5,Variable 1,175.000000000000000
64,65,202,20,Variable 2,225.000000000000000
65,66,502,50,Variable 2,75.000000000000000
66,67,502,50,Variable 2,50.000000000000000
67,68,151,15,Variable 1,175.000000000000000
68,69,402,40,Variable 2,225.000000000000000
69,70,502,50,Variable 2,25.000000000000000
70,71,502,50,Variable 2,25.000000000000000
71,72,51,5,Variable 1,25.000000000000000
72,73,101,10,Variable 1,175.000000000000000
73,74,151,15,Variable 1,25.000000000000000
74,75,302,30,Variable 2,100.000000000000000
75,76,302,30,Variable 2,25.000000000000000
76,77,402,40,Variable 2,275.000000000000000
77,78,402,40,Variable 2,150.000000000000000
78,79,101,10,Variable 1,25.000000000000000
79,80,202,20,Variable 2,25.000000000000000
80,81,302,30,Variable 2,25.000000000000000
81,82,202,20,Variable 2,25.000000000000000
82,83,502,50,Variable 2,25.000000000000000
83,84,151,15,Variable 1,25.000000000000000
84,85,152,15,Variable 2,25.000000000000000
85,86,202,20,Variable 2,25.000000000000000
86,87,51,5,Variable 1,25.000000000000000
87,88,151,15,Variable 1,50.000000000000000
88,89,202,20,Variable 2,25.000000000000000
89,90,101,10,Variable 1,150.000000000000000
90,91,202,20,Variable 2,25.000000000000000
91,92,502,50,Variable 2,25.000000000000000
92,93,101,10,Variable 1,25.000000000000000
93,94,151,15,Variable 1,25.000000000000000
94,95,152,15,Variable 2,25.000000000000000
95,96,502,50,Variable 2,50.000000000000000
96,97,302,30,Variable 2,1425.000000000000000
97,98,202,20,Variable 2,100.000000000000000
98,99,101,10,Variable 1,175.000000000000000
99,100,151,15,Variable 1,25.000000000000000
100,101,302,30,Variable 2,25.000000000000000
101,102,402,40,Variable 2,425.000000000000000
102,103,502,50,Variable 2,50.000000000000000
103,104,101,10,Variable 1,50.000000000000000
104,105,151,15,Variable 1,75.000000000000000
105,106,152,15,Variable 2,25.000000000000000
106,107,202,20,Variable 2,100.000000000000000
107,108,101,10,Variable 1,25.000000000000000
108,109,151,15,Variable 1,100.000000000000000
109,110,502,50,Variable 2,325.000000000000000
110,111,101,10,Variable 1,50.000000000000000
111,112,402,40,Variable 2,250.000000000000000
112,113,302,30,Variable 2,25.000000000000000
113,114,402,40,Variable 2,25.000000000000000
114,115,51,5,Variable 1,1350.000000000000000
115,116,152,15,Variable 2,25.000000000000000
116,117,302,30,Variable 2,25.000000000000000
117,118,202,20,Variable 2,50.000000000000000
118,119,502,50,Variable 2,25.000000000000000
119,120,51,5,Variable 1,25.000000000000000
120,121,402,40,Variable 2,25.000000000000000
121,122,302,30,Variable 2,50.000000000000000
122,123,51,5,Variable 1,50.000000000000000
123,124,402,40,Variable 2,25.000000000000000
124,125,101,10,Variable 1,200.000000000000000
125,126,302,30,Variable 2,175.000000000000000
126,127,502,50,Variable 2,25.000000000000000
