Mixture,Fine,Medium ,Coarse
D10,0.0000009,0.000150385,0.0005581
D16,0.000018,0.0001747,0.0013
D20,0.0000227,0.00019,0.0023
D30,0.000038,0.000231488,0.0045421
D35,0.000042,0.0002542,0.0062563
D40,0.0000458,0.0003021,0.008
D50,0.000067,0.000397901,0.012783
D60,0.0000799,0.0004937,0.018
D65,0.0000865,0.0006932,0.0205
D70,0.0001232,0.0009155,0.026
D80,0.0002618,0.0038,0.032
D84,0.000317,0.0061459,0.034858
D90,0.0004003,0.012205187,0.041279
Dmax,0.0042,0.025,0.08
Dm,0.000231,0.006064,0.020332
