FID,Id,gridcode,Persistence,Variable,Area
0,1,101,10,Variable 1,25.000000000000000
1,2,101,10,Variable 1,25.000000000000000
2,3,101,10,Variable 1,75.000000000000000
3,4,101,10,Variable 1,50.000000000000000
4,5,151,15,Variable 1,25.000000000000000
5,6,101,10,Variable 1,600.000000000000000
6,7,151,15,Variable 1,325.000000000000000
7,8,101,10,Variable 1,25.000000000000000
8,9,151,15,Variable 1,25.000000000000000
9,10,101,10,Variable 1,450.000000000000000
10,11,101,10,Variable 1,25.000000000000000
11,12,54,5,Variable 4,25.000000000000000
12,13,101,10,Variable 1,100.000000000000000
13,14,101,10,Variable 1,150.000000000000000
14,15,101,10,Variable 1,25.000000000000000
15,16,101,10,Variable 1,25.000000000000000
16,17,101,10,Variable 1,50.000000000000000
17,18,201,20,Variable 1,25.000000000000000
18,19,101,10,Variable 1,25.000000000000000
19,20,101,10,Variable 1,25.000000000000000
20,21,154,15,Variable 4,75.000000000000000
21,22,151,15,Variable 1,25.000000000000000
22,23,154,15,Variable 4,75.000000000000000
23,24,151,15,Variable 1,225.000000000000000
24,25,154,15,Variable 4,25.000000000000000
25,26,151,15,Variable 1,50.000000000000000
26,27,201,20,Variable 1,25.000000000000000
27,28,151,15,Variable 1,25.000000000000000
28,29,201,20,Variable 1,25.000000000000000
29,30,151,15,Variable 1,25.000000000000000
30,31,201,20,Variable 1,25.000000000000000
31,32,151,15,Variable 1,1075.000000000000000
32,33,54,5,Variable 4,25.000000000000000
33,34,151,15,Variable 1,25.000000000000000
34,35,101,10,Variable 1,75.000000000000000
35,36,151,15,Variable 1,25.000000000000000
36,37,101,10,Variable 1,650.000000000000000
37,38,54,5,Variable 4,25.000000000000000
38,39,151,15,Variable 1,25.000000000000000
39,40,151,15,Variable 1,50.000000000000000
40,41,151,15,Variable 1,75.000000000000000
41,42,201,20,Variable 1,25.000000000000000
42,43,104,10,Variable 4,25.000000000000000
43,44,154,15,Variable 4,25.000000000000000
44,45,201,20,Variable 1,250.000000000000000
45,46,201,20,Variable 1,25.000000000000000
46,47,104,10,Variable 4,100.000000000000000
47,48,201,20,Variable 1,25.000000000000000
48,49,201,20,Variable 1,75.000000000000000
49,50,201,20,Variable 1,50.000000000000000
50,51,201,20,Variable 1,25.000000000000000
51,52,104,10,Variable 4,125.000000000000000
52,53,201,20,Variable 1,125.000000000000000
53,54,104,10,Variable 4,25.000000000000000
54,55,201,20,Variable 1,100.000000000000000
55,56,104,10,Variable 4,25.000000000000000
56,57,201,20,Variable 1,400.000000000000000
57,58,151,15,Variable 1,25.000000000000000
58,59,201,20,Variable 1,25.000000000000000
59,60,151,15,Variable 1,300.000000000000000
60,61,101,10,Variable 1,475.000000000000000
61,62,54,5,Variable 4,25.000000000000000
62,63,101,10,Variable 1,200.000000000000000
63,64,201,20,Variable 1,100.000000000000000
64,65,201,20,Variable 1,25.000000000000000
65,66,154,15,Variable 4,25.000000000000000
66,67,201,20,Variable 1,75.000000000000000
67,68,104,10,Variable 4,25.000000000000000
68,69,154,15,Variable 4,75.000000000000000
69,70,201,20,Variable 1,450.000000000000000
70,71,201,20,Variable 1,25.000000000000000
71,72,151,15,Variable 1,125.000000000000000
72,73,101,10,Variable 1,325.000000000000000
73,74,101,10,Variable 1,25.000000000000000
74,75,101,10,Variable 1,25.000000000000000
75,76,151,15,Variable 1,25.000000000000000
76,77,201,20,Variable 1,50.000000000000000
77,78,154,15,Variable 4,100.000000000000000
78,79,153,15,Variable 3,25.000000000000000
79,80,104,10,Variable 4,25.000000000000000
80,81,104,10,Variable 4,225.000000000000000
81,82,203,20,Variable 3,25.000000000000000
82,83,153,15,Variable 3,25.000000000000000
83,84,154,15,Variable 4,25.000000000000000
84,85,201,20,Variable 1,75.000000000000000
85,86,151,15,Variable 1,250.000000000000000
86,87,101,10,Variable 1,125.000000000000000
87,88,101,10,Variable 1,75.000000000000000
88,89,201,20,Variable 1,25.000000000000000
89,90,103,10,Variable 3,25.000000000000000
90,91,153,15,Variable 3,25.000000000000000
91,92,203,20,Variable 3,25.000000000000000
92,93,201,20,Variable 1,50.000000000000000
93,94,151,15,Variable 1,150.000000000000000
94,95,101,10,Variable 1,25.000000000000000
95,96,101,10,Variable 1,50.000000000000000
96,97,151,15,Variable 1,100.000000000000000
97,98,153,15,Variable 3,25.000000000000000
98,99,104,10,Variable 4,25.000000000000000
99,100,201,20,Variable 1,1000.000000000000000
100,101,154,15,Variable 4,1075.000000000000000
101,102,104,10,Variable 4,25.000000000000000
102,103,104,10,Variable 4,75.000000000000000
103,104,151,15,Variable 1,50.000000000000000
104,105,101,10,Variable 1,25.000000000000000
105,106,104,10,Variable 4,25.000000000000000
106,107,151,15,Variable 1,100.000000000000000
107,108,104,10,Variable 4,25.000000000000000
108,109,101,10,Variable 1,25.000000000000000
109,110,104,10,Variable 4,250.000000000000000
110,111,153,15,Variable 3,350.000000000000000
111,112,101,10,Variable 1,50.000000000000000
112,113,201,20,Variable 1,25.000000000000000
113,114,151,15,Variable 1,25.000000000000000
114,115,104,10,Variable 4,1275.000000000000000
115,116,153,15,Variable 3,875.000000000000000
116,117,153,15,Variable 3,75.000000000000000
117,118,153,15,Variable 3,25.000000000000000
118,119,304,30,Variable 4,550.000000000000000
119,120,151,15,Variable 1,100.000000000000000
120,121,104,10,Variable 4,125.000000000000000
121,122,201,20,Variable 1,125.000000000000000
122,123,104,10,Variable 4,25.000000000000000
123,124,151,15,Variable 1,1575.000000000000000
124,125,151,15,Variable 1,25.000000000000000
125,126,104,10,Variable 4,50.000000000000000
126,127,201,20,Variable 1,300.000000000000000
127,128,104,10,Variable 4,25.000000000000000
128,129,201,20,Variable 1,25.000000000000000
129,130,153,15,Variable 3,300.000000000000000
130,131,153,15,Variable 3,25.000000000000000
131,132,201,20,Variable 1,75.000000000000000
132,133,201,20,Variable 1,675.000000000000000
133,134,201,20,Variable 1,50.000000000000000
134,135,151,15,Variable 1,50.000000000000000
135,136,101,10,Variable 1,25.000000000000000
136,137,101,10,Variable 1,25.000000000000000
137,138,101,10,Variable 1,100.000000000000000
138,139,151,15,Variable 1,325.000000000000000
139,140,201,20,Variable 1,125.000000000000000
140,141,304,30,Variable 4,25.000000000000000
141,142,201,20,Variable 1,100.000000000000000
142,143,304,30,Variable 4,25.000000000000000
143,144,201,20,Variable 1,25.000000000000000
144,145,101,10,Variable 1,25.000000000000000
145,146,101,10,Variable 1,2025.000000000000000
146,147,101,10,Variable 1,25.000000000000000
147,148,101,10,Variable 1,25.000000000000000
148,149,101,10,Variable 1,50.000000000000000
149,150,151,15,Variable 1,175.000000000000000
150,151,201,20,Variable 1,75.000000000000000
151,152,304,30,Variable 4,25.000000000000000
152,153,201,20,Variable 1,50.000000000000000
153,154,101,10,Variable 1,2750.000000000000000
154,155,54,5,Variable 4,25.000000000000000
155,156,151,15,Variable 1,125.000000000000000
156,157,201,20,Variable 1,75.000000000000000
157,158,204,20,Variable 4,150.000000000000000
158,159,101,10,Variable 1,25.000000000000000
159,160,101,10,Variable 1,50.000000000000000
160,161,151,15,Variable 1,100.000000000000000
161,162,201,20,Variable 1,75.000000000000000
162,163,154,15,Variable 4,25.000000000000000
163,164,204,20,Variable 4,25.000000000000000
164,165,201,20,Variable 1,75.000000000000000
165,166,101,10,Variable 1,75.000000000000000
166,167,101,10,Variable 1,225.000000000000000
167,168,101,10,Variable 1,25.000000000000000
168,169,54,5,Variable 4,25.000000000000000
169,170,101,10,Variable 1,25.000000000000000
170,171,151,15,Variable 1,50.000000000000000
171,172,201,20,Variable 1,75.000000000000000
172,173,151,15,Variable 1,75.000000000000000
173,174,201,20,Variable 1,75.000000000000000
174,175,201,20,Variable 1,75.000000000000000
175,176,151,15,Variable 1,25.000000000000000
176,177,204,20,Variable 4,50.000000000000000
177,178,154,15,Variable 4,25.000000000000000
178,179,101,10,Variable 1,25.000000000000000
179,180,151,15,Variable 1,100.000000000000000
180,181,204,20,Variable 4,750.000000000000000
181,182,101,10,Variable 1,25.000000000000000
182,183,151,15,Variable 1,50.000000000000000
183,184,201,20,Variable 1,125.000000000000000
184,185,304,30,Variable 4,25.000000000000000
185,186,204,20,Variable 4,25.000000000000000
186,187,154,15,Variable 4,25.000000000000000
187,188,101,10,Variable 1,25.000000000000000
188,189,151,15,Variable 1,50.000000000000000
189,190,201,20,Variable 1,50.000000000000000
190,191,204,20,Variable 4,25.000000000000000
191,192,204,20,Variable 4,25.000000000000000
192,193,101,10,Variable 1,50.000000000000000
193,194,151,15,Variable 1,50.000000000000000
194,195,201,20,Variable 1,25.000000000000000
195,196,154,15,Variable 4,8900.000000000000000
196,197,404,40,Variable 4,1050.000000000000000
197,198,304,30,Variable 4,50.000000000000000
198,199,204,20,Variable 4,200.000000000000000
199,200,101,10,Variable 1,25.000000000000000
200,201,151,15,Variable 1,50.000000000000000
201,202,201,20,Variable 1,25.000000000000000
202,203,204,20,Variable 4,125.000000000000000
203,204,201,20,Variable 1,25.000000000000000
204,205,151,15,Variable 1,25.000000000000000
205,206,101,10,Variable 1,25.000000000000000
206,207,151,15,Variable 1,50.000000000000000
207,208,201,20,Variable 1,25.000000000000000
208,209,104,10,Variable 4,4800.000000000000000
209,210,154,15,Variable 4,25.000000000000000
210,211,204,20,Variable 4,25.000000000000000
211,212,201,20,Variable 1,25.000000000000000
212,213,201,20,Variable 1,25.000000000000000
213,214,101,10,Variable 1,25.000000000000000
214,215,151,15,Variable 1,50.000000000000000
215,216,201,20,Variable 1,25.000000000000000
216,217,101,10,Variable 1,25.000000000000000
217,218,151,15,Variable 1,50.000000000000000
218,219,204,20,Variable 4,425.000000000000000
219,220,201,20,Variable 1,125.000000000000000
220,221,201,20,Variable 1,25.000000000000000
221,222,151,15,Variable 1,50.000000000000000
222,223,154,15,Variable 4,50.000000000000000
223,224,404,40,Variable 4,25.000000000000000
224,225,201,20,Variable 1,150.000000000000000
225,226,151,15,Variable 1,725.000000000000000
226,227,151,15,Variable 1,25.000000000000000
227,228,101,10,Variable 1,50.000000000000000
228,229,104,10,Variable 4,25.000000000000000
229,230,154,15,Variable 4,25.000000000000000
230,231,201,20,Variable 1,25.000000000000000
231,232,151,15,Variable 1,175.000000000000000
232,233,201,20,Variable 1,25.000000000000000
233,234,151,15,Variable 1,25.000000000000000
234,235,101,10,Variable 1,25.000000000000000
235,236,151,15,Variable 1,100.000000000000000
236,237,201,20,Variable 1,1000.000000000000000
237,238,203,20,Variable 3,25.000000000000000
238,239,154,15,Variable 4,325.000000000000000
239,240,204,20,Variable 4,25.000000000000000
240,241,154,15,Variable 4,50.000000000000000
241,242,201,20,Variable 1,75.000000000000000
242,243,151,15,Variable 1,75.000000000000000
243,244,201,20,Variable 1,50.000000000000000
244,245,151,15,Variable 1,50.000000000000000
245,246,404,40,Variable 4,50.000000000000000
246,247,201,20,Variable 1,50.000000000000000
247,248,101,10,Variable 1,25.000000000000000
248,249,104,10,Variable 4,50.000000000000000
249,250,201,20,Variable 1,25.000000000000000
250,251,151,15,Variable 1,75.000000000000000
251,252,104,10,Variable 4,25.000000000000000
252,253,204,20,Variable 4,25.000000000000000
253,254,204,20,Variable 4,25.000000000000000
254,255,201,20,Variable 1,50.000000000000000
255,256,104,10,Variable 4,25.000000000000000
256,257,201,20,Variable 1,50.000000000000000
257,258,151,15,Variable 1,75.000000000000000
258,259,54,5,Variable 4,25.000000000000000
259,260,101,10,Variable 1,25.000000000000000
260,261,151,15,Variable 1,50.000000000000000
261,262,201,20,Variable 1,25.000000000000000
262,263,104,10,Variable 4,25.000000000000000
263,264,204,20,Variable 4,700.000000000000000
264,265,304,30,Variable 4,825.000000000000000
265,266,304,30,Variable 4,25.000000000000000
266,267,204,20,Variable 4,875.000000000000000
267,268,151,15,Variable 1,1750.000000000000000
268,269,151,15,Variable 1,25.000000000000000
269,270,301,30,Variable 1,25.000000000000000
270,271,201,20,Variable 1,50.000000000000000
271,272,151,15,Variable 1,200.000000000000000
272,273,101,10,Variable 1,100.000000000000000
273,274,201,20,Variable 1,75.000000000000000
274,275,151,15,Variable 1,50.000000000000000
275,276,54,5,Variable 4,25.000000000000000
276,277,151,15,Variable 1,25.000000000000000
277,278,201,20,Variable 1,25.000000000000000
278,279,104,10,Variable 4,25.000000000000000
279,280,301,30,Variable 1,25.000000000000000
280,281,301,30,Variable 1,25.000000000000000
281,282,101,10,Variable 1,50.000000000000000
282,283,104,10,Variable 4,50.000000000000000
283,284,201,20,Variable 1,50.000000000000000
284,285,151,15,Variable 1,75.000000000000000
285,286,101,10,Variable 1,50.000000000000000
286,287,151,15,Variable 1,25.000000000000000
287,288,201,20,Variable 1,50.000000000000000
288,289,154,15,Variable 4,825.000000000000000
289,290,304,30,Variable 4,7750.000000000000000
290,291,304,30,Variable 4,50.000000000000000
291,292,154,15,Variable 4,475.000000000000000
292,293,104,10,Variable 4,25.000000000000000
293,294,151,15,Variable 1,25.000000000000000
294,295,201,20,Variable 1,25.000000000000000
295,296,201,20,Variable 1,25.000000000000000
296,297,151,15,Variable 1,375.000000000000000
297,298,101,10,Variable 1,100.000000000000000
298,299,154,15,Variable 4,25.000000000000000
299,300,153,15,Variable 3,100.000000000000000
300,301,104,10,Variable 4,50.000000000000000
301,302,201,20,Variable 1,50.000000000000000
302,303,151,15,Variable 1,50.000000000000000
303,304,101,10,Variable 1,1225.000000000000000
304,305,101,10,Variable 1,50.000000000000000
305,306,151,15,Variable 1,50.000000000000000
306,307,154,15,Variable 4,50.000000000000000
307,308,201,20,Variable 1,25.000000000000000
308,309,101,10,Variable 1,25.000000000000000
309,310,101,10,Variable 1,175.000000000000000
310,311,101,10,Variable 1,25.000000000000000
311,312,104,10,Variable 4,25.000000000000000
312,313,201,20,Variable 1,50.000000000000000
313,314,151,15,Variable 1,25.000000000000000
314,315,201,20,Variable 1,100.000000000000000
315,316,104,10,Variable 4,25.000000000000000
316,317,204,20,Variable 4,7750.000000000000000
317,318,154,15,Variable 4,50.000000000000000
318,319,204,20,Variable 4,900.000000000000000
319,320,151,15,Variable 1,25.000000000000000
